===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2017-10-25 16:39:34
count workspace : /Users/gaspard/git/lucidity
total files : 193
total code lines : 7959
total comment lines : 461
total blank lines : 753

src/blocks/firebase/auth/chains/prefsChanged.ts, code is 12, comment is 0, blank is 3.
src/blocks/firebase/auth/chains/registerWithEmail.ts, code is 15, comment is 33, blank is 3.
src/blocks/firebase/auth/chains/signIn.ts, code is 38, comment is 0, blank is 2.
src/blocks/firebase/auth/chains/signInWithEmail.ts, code is 23, comment is 0, blank is 4.
src/blocks/firebase/auth/chains/signInWithFacebook.ts, code is 20, comment is 0, blank is 5.
src/blocks/firebase/auth/chains/signInWithGoogle.ts, code is 20, comment is 0, blank is 4.
src/blocks/firebase/auth/chains/syncPrefs.ts, code is 76, comment is 0, blank is 4.
src/blocks/firebase/data/index.ts, code is 54, comment is 4, blank is 4.
src/blocks/firebase/data/paths.ts, code is 9, comment is 0, blank is 3.
src/blocks/firebase/data/types.ts, code is 22, comment is 20, blank is 5.
src/blocks/firebase/index.ts, code is 86, comment is 1, blank is 7.
src/blocks/firebase/type.ts, code is 34, comment is 7, blank is 1.
src/blocks/forms/chains/valueChanged.ts, code is 5, comment is 0, blank is 1.
src/blocks/forms/index.ts, code is 28, comment is 0, blank is 3.
src/blocks/lucidity/components/App/Footer.tsx, code is 31, comment is 0, blank is 4.
src/blocks/lucidity/components/App/Header.tsx, code is 70, comment is 0, blank is 3.
src/blocks/lucidity/components/App/index.tsx, code is 24, comment is 0, blank is 4.
src/blocks/lucidity/components/App/print.css, code is 11, comment is 0, blank is 1.
src/blocks/lucidity/components/App/style.scss, code is 5, comment is 0, blank is 1.
src/blocks/lucidity/components/App/test.js, code is 7, comment is 0, blank is 1.
src/blocks/lucidity/components/Code/CodeDisplay.tsx, code is 17, comment is 0, blank is 3.
src/blocks/lucidity/components/Code/CodeIcon.tsx, code is 5, comment is 0, blank is 1.
src/blocks/lucidity/components/Code/index.tsx, code is 26, comment is 0, blank is 3.
src/blocks/lucidity/components/Navigator/index.tsx, code is 74, comment is 1, blank is 7.
src/blocks/lucidity/components/Navigator/Item.tsx, code is 38, comment is 0, blank is 5.
src/blocks/lucidity/components/Navigator/NavContent.tsx, code is 50, comment is 0, blank is 8.
src/blocks/lucidity/components/Navigator/Tab.tsx, code is 36, comment is 0, blank is 4.
src/blocks/lucidity/components/variables.scss, code is 2, comment is 0, blank is 0.
src/blocks/lucidity/index.ts, code is 41, comment is 0, blank is 5.
src/blocks/lucidity/modules/data/index.ts, code is 63, comment is 0, blank is 2.
src/blocks/lucidity/modules/navigation/index.ts, code is 46, comment is 2, blank is 3.
src/blocks/lucidity/modules/prefs/index.ts, code is 48, comment is 3, blank is 5.
src/blocks/lucidity/modules/router/index.ts, code is 26, comment is 0, blank is 4.
src/blocks/typings/base64-arraybuffer.d.ts, code is 8, comment is 0, blank is 1.
src/blocks/typings/cerebral.d.ts, code is 0, comment is 115, blank is 1.
src/blocks/typings/clipboard-js.d.ts, code is 10, comment is 0, blank is 2.
src/blocks/typings/react-styled-flexboxgrid.d.ts, code is 9, comment is 4, blank is 1.
src/blocks/typings/seedrandom.d.ts, code is 11, comment is 4, blank is 2.
src/blocks/typings/svg.animate.d.ts, code is 0, comment is 7, blank is 0.
src/blocks/typings/tone.d.ts, code is 4, comment is 4, blank is 1.
src/blocks/typings/vexflow.d.ts, code is 7, comment is 4, blank is 1.
src/blocks/watch/index.ts, code is 94, comment is 0, blank is 17.
src/blocks/watch/matchPath.test.ts, code is 41, comment is 0, blank is 2.
src/blocks/watch/matchPath.ts, code is 19, comment is 0, blank is 2.
src/config/database.rules.json, code is 21, comment is 5, blank is 0.
src/config/firebase.ts, code is 9, comment is 0, blank is 1.
src/config/storage.rules, code is 15, comment is 0, blank is 0.
src/config/themes/basic.ts, code is 21, comment is 1, blank is 1.
src/config/themes/index.ts, code is 17, comment is 0, blank is 3.
src/config/translate/common.ts, code is 74, comment is 0, blank is 9.
src/config/translate/en.ts, code is 45, comment is 0, blank is 1.
src/config/translate/fr.ts, code is 45, comment is 0, blank is 1.
src/config/translate/index.ts, code is 126, comment is 1, blank is 11.
src/index.html, code is 11, comment is 0, blank is 1.
src/styled/Auth.tsx, code is 24, comment is 0, blank is 3.
src/styled/Button.tsx, code is 83, comment is 0, blank is 7.
src/styled/Card/Content.tsx, code is 11, comment is 0, blank is 1.
src/styled/Card/Error.tsx, code is 42, comment is 0, blank is 8.
src/styled/Card/Footer.tsx, code is 9, comment is 0, blank is 1.
src/styled/Card/index.tsx, code is 20, comment is 0, blank is 5.
src/styled/Card/Title.tsx, code is 52, comment is 0, blank is 8.
src/styled/Content.tsx, code is 13, comment is 0, blank is 2.
src/styled/DragHandle.tsx, code is 44, comment is 0, blank is 6.
src/styled/Field.tsx, code is 53, comment is 1, blank is 7.
src/styled/Footer.tsx, code is 15, comment is 0, blank is 2.
src/styled/Header.tsx, code is 17, comment is 3, blank is 2.
src/styled/Icon.tsx, code is 73, comment is 2, blank is 5.
src/styled/index.tsx, code is 53, comment is 0, blank is 9.
src/styled/Input.tsx, code is 61, comment is 0, blank is 6.
src/styled/Layout/index.tsx, code is 58, comment is 10, blank is 7.
src/styled/Layout/style.scss, code is 6, comment is 0, blank is 1.
src/styled/Login/Authenticating.tsx, code is 10, comment is 0, blank is 1.
src/styled/Login/Facebook.tsx, code is 21, comment is 1, blank is 1.
src/styled/Login/Google.tsx, code is 19, comment is 1, blank is 1.
src/styled/Login/index.tsx, code is 35, comment is 0, blank is 5.
src/styled/Login/Loading.tsx, code is 9, comment is 0, blank is 1.
src/styled/Login/Password.tsx, code is 44, comment is 0, blank is 3.
src/styled/Login/SetPassword.tsx, code is 53, comment is 0, blank is 4.
src/styled/Login/SignIn.tsx, code is 58, comment is 0, blank is 4.
src/styled/Login/Sync.tsx, code is 9, comment is 0, blank is 1.
src/styled/Modal.tsx, code is 32, comment is 0, blank is 5.
src/styled/Page.tsx, code is 18, comment is 0, blank is 2.
src/styled/Separator.tsx, code is 5, comment is 0, blank is 1.
src/styled/Sidebar.tsx, code is 14, comment is 0, blank is 2.
src/styled/theme.ts, code is 20, comment is 7, blank is 0.
src/styled/Username.tsx, code is 32, comment is 0, blank is 3.
===============================================================================
